Index	Data1	Data2
1	1	465243657.2
2	1.228733877	314705523.1
3	1.534854387	206938974
4	1.915009637	142867803
5	2.390877084	93734961.84
6	2.935876224	61833271.19
7	3.501936118	39469765.68
8	4.160344	26040571.8
9	5.096723896	17647322.88
10	6.333184668	11936810.08
11	7.496788305	7925534.205
12	9.244438611	5105090.013
13	11.42475754	3269965.632
14	13.50462932	2291946.662
15	16.00637966	1546162.197
16	19.23962627	1008349.439
17	24.22187203	646994.4747
18	29.03851628	432890.2776
19	33.23475687	284992.0123
20	38.07172379	199153.7732
21	45.96794317	137857.912
22	52.97717406	88698.46748
23	60.65849599	57505.92679
24	75.15749489	36530.30838
25	91.22626086	24985.85264
26	107.3733749	16745.14482
27	125.1814786	10750.50253
28	154.0483747	7035.57578
29	185.084095	4560.086811
30	213.0162203	3079.250144
31	250.911458	1972.307443
32	307.7388447	1380.574962
33	365.8898986	939.8208849
34	426.0071094	597.314092
35	512.4333038	393.3537373
36	641.3691724	270.9767245
37	753.26361	186.3870721
38	860.8116943	128.9743786
39	991.3911846	83.95235345
40	1203.871138	57.076832
41	1447.673883	39.58663663
42	1744.122232	25.52868158
43	2165.182144	16.57208327
44	2477.573519	11.52046686
45	2956.736653	7.347166504
46	3584.425599	4.819367094
47	4336.30223	3.379502445
48	5315.594489	2.255812681
49	6477.295864	1.456130431
50	7748.617087	
