	expression	promoter.meth	gene.meth
Aars2	3.7529972	3.5555556	85.31092
Aarsd1	5.335752	10.902778	35.25517
Aasdh	5.605033	0.99358976	89.655846
Aasdhppt	3.8427942	5.5024514	40.66456
Aass	4.4846587	0	78.515625
Aatf	6.163478	0.4662005	81.74055
Aatk	-0.69325894	0.7352941	3.772787
AB041803	-2.4302247	1.1363636	2.128
AB041806	-4.16719	0	1.1672909
AB124611	0.842794	96.59588	83.60658
Abat	3.2794337	0.65789473	56.58938
Abca1	7.012719	0.42735046	7.4488835
Abca12	-0.31474733	0.8333333	28.572466
Abca13	1.6572382	95.52846	92.03984
Abca14	-1.693259	1.4705882	17.63528
Abca15	-1.2078321	0.8235294	15.516393
Abca16	3.7661726	6.521739	57.375187
Abca17	-0.43022457	0.7872697	2.74199
Abca2	8.395265	1.6552511	87.28851
Abca3	7.5598793	0.9692672	54.502903
Abca4	1.154738	0.9132421	77.40094
Abca5	4.695619	1.1274511	65.114876
Abca6	-2.015187	0.9259259	4.1559343
Abca7	2.6141696	1.6666666	81.901985
Abca8a	3.103754	0	10.135132
Abca8b	-4.0151873	0	6.1762543
Abca9	-1.693259	0	67.41751
Abcb10	5.2999625	1.1666667	79.83906
Abcb11	1.0292072	91.666664	23.435886
Abcb1a	3.3335412	0.6896552	41.484276
Abcb1b	-0.20783208	2.6271186	83.345116
Abcb4	1.817703	0.7507508	72.82719
Abcb5	1.7921679	0	67.87483
Abcb6	7.547532	16.00635	69.14624
Abcb7	4.873556	0	85.95261
Abcb8	4.733006	1.3095238	53.377014
Abcb9	5.425682	2.3809524	88.52535
Abcc1	8.139315	1.984127	89.35279
Abcc10	7.1497197	10.431034	76.462585
Abcc12	-3.015187	13.888889	3.4212554
Abcc2	-3.015187	7.894737	6.4461937
Abcc3	-1.2078321	2.9661016	43.442802
Abcc4	4.650149	0	65.95549
Abcc5	7.2999625	0.13071896	86.18453
Abcc6	2.2702153	3.2258065	13.792133
Abcc8	-1.2078321	0	4.40114
Abcc9	-0.015187042	1.1363636	5.849034
Abcd1	7.9284263	14.896755	80.70911
Abcd2	-2.4302247	0.2469136	11.117118
Abcd3	6.485655	0.90909094	69.95198
Abcd4	2.6990585	96.89474	95.01502
Abce1	6.3920803	13.043478	69.31324
Abcf1	7.3883576	0	69.71201
Abcf2	6.814536	0.3787879	71.84708
Abcf3	7.199132	3.3783784	46.636562
Abcg1	3.5995228	0	82.31358
Abcg2	3.1942666	14.102565	5.626404
Abcg3	-4.16719	2.9310346	10.986223
Abcg4	-1.4302245	69.4	35.797092
Abcg5	-4.16719	2.7916667	2.3911254
Abcg8	-0.5557554	1.9480519	2.0837173
Abhd1	2.2885938	0.7882883	77.56007
Abhd10	5.026472	1.4084507	69.56141
Abhd11	2.5697753	8.139159	41.468483
Abhd12	6.675684	1.7045455	83.81312
Abhd12b	-4.16719	6	35.223812
Abhd13	5.6412377	0.8463542	43.930202
Abhd14a	2.8796308	14.851753	32.626263
Abhd14b	-1.2078321	7.189586	40.04831
Abhd15	0.15473793	1.5398551	52.474846
Abhd16a	5.7279644	1.4652016	76.35622
Abhd16b	-2.4302247	1.7857143	4.7824306
Abhd2	5.2632623	1.5704154	67.75396
Abhd3	1.0722758	0	76.3107
Abhd4	5.979166	2.1186442	71.01803
Abhd5	4.284021	1.5536724	58.30913
Abhd6	2.1942663	1.4981275	89.90164
Abhd8	2.9734979	0.10989012	20.323402
Abi1	5.5884395	0	70.67314
Abi2	6.399498	0.7407407	74.436775
Abi3	2.0933373	2.6041667	1.1589404
Abi3bp	5.4236045	7.2222223	74.01665
Abl1	7.138365	2.6402643	86.71862
Abl2	8.281443	1.936508	87.50407
Ablim1	7.3016605	2.7894738	53.104973
Ablim2	2.9620929	0.15748031	90.94308
Ablim3	2.13456	19.246574	83.81535
Abo	2.4442446	4.666667	12.716894
Abp1	-4.16719	86.4787	33.70037
Abpa	-4.16719	10.833334	16.944445
Abpb	-4.16719	21.833334	4.938272
Abpd	-4.16719	25	2.0408165
Abpe	-4.16719	9.027778	27.916668
Abpg	-4.16719	5.714286	2.0833333
Abph	-4.16719	13.736263	14.912281
Abpz	-4.16719	8.333333	7.5
Abr	6.3302183	0.9188847	73.30665
Abra	-4.16719	0	0.65217394
Abt1	5.650149	0.5319149	52.323235
Abtb1	4.6678076	0.4340278	68.684616
Abtb2	6.570715	0	80.20962
AC141469.5	8.668246	7.8152323	87.04376
AC152164.1	-4.16719	82.5	19.554197
Acaa1a	2.2515996	7.062938	65.24788
Acaa1b	-4.16719	2.1212122	21.996447
Acaa2	3.7330058	4.7413793	70.346344
Acaca	4.4442444	12.316562	70.552055
Acacb	5.082845	8.488095	93.20708
Acad10	3.2609372	1.4148592	91.22229
Acad11	5.9834037	18.333334	83.246796
Acad12	2.6852527	11.920804	58.817104
Acad8	3.4605465	11.377778	77.22944
Acad9	5.537482	5.5555553	82.64011
Acadl	2.6713135	1.6140352	43.301693
Acadm	2.8551776	0.37878788	30.929674
Acads	4.8240166	7.1904764	71.86449
Acadsb	4.333541	1.9660679	75.32672
Acadvl	5.93464	1.3227514	76.44861
Acan	0.3067411	1.119403	3.199992
Acap1	0.3067411	6.6666665	26.791388
Acap2	5.5884395	1.6483517	70.85456
Acap3	6.073601	2.1166792	61.529305
Acat1	8.380347	0.43290046	79.00463
Acat2	3.4605465	1.643991	61.657104
Acat3	6.3706756	0	65.45899
Acbd3	6.4656034	0.7352941	60.39051
Acbd4	-0.84526205	1.0651629	1.5966387
Acbd5	3.476666	2.7836132	61.07793
Acbd6	6.7397003	1.4652016	76.25304
Acbd7	-3.015187	9.397163	81.84157
Accn1	-3.015187	2.1505377	5.567201
Accn2	0.68525267	0	24.44724
Accn3	0.93900925	82.75	93.21738
Accn4	-2.4302247	1.8987342	9.264069
Accn5	-0.5557554	2.2435899	7.84632
Accs	-1.693259	31.578947	74.24968
Accsl	0.15473793	0	79.851585
Acd	6.310118	14.392614	24.908138
Ace	-0.10829648	0.79545456	10.494253
Ace2	-4.16719	10.416667	14.2119
Ace3	-4.0151873	21.785715	3.2767134
Acer1	-2.4302247	5	2.7032378
Acer2	1.4110777	26.352627	25.21046
Acer3	3.5239716	3.9473684	40.622387
Ache	-4.16719	2.124183	1.3905039
Acin1	7.8267703	20.20202	78.701935
Acly	7.69734	0.34722224	86.60321
Acmsd	-1.693259	8.630953	36.584427
Acn9	1.4766661	1.1627907	83.29218
Acnat1	-1.693259	8.333334	4.1968913
Acnat2	-4.16719	0	6.217055
Aco1	6.397383	0	88.797485
Aco2	7.133925	18.25	83.90582
Acot1	-4.0151873	1.1415526	1.904762
Acot10	3.2422009	0	0
Acot11	-2.4302247	1.6666667	21.923536
Acot12	-2.015187	1.4015151	4.2026052
Acot13	2.6572382	4.6750994	75.71327
Acot2	-0.10829648	7.52381	46.54948
Acot3	-4.0151873	0	46.48857
Acot4	-4.0151873	7.793428	5.0043488
Acot5	-4.0151873	0.64102566	24.275
Acot6	-1.015187	0	2.069878
Acot7	5.6304717	0.68139964	87.85968
Acot8	3.779229	5.3333335	53.873974
Acot9	3.4194412	0.6918239	71.808624
Acox1	6.173402	14.62963	64.66714
Acox2	-4.16719	96.66667	38.602623
Acox3	4.4846587	3.0821917	90.45706
Acoxl	2.2136316	75	74.486435
Acp1	3.6286693	2.0325203	80.02861
Acp2	5.0127187	3.8461537	72.211365
Acp5	0.37713045	48.357964	56.217216
Acp6	5.584726	8.383839	81.24528
Acpl2	2.0509021	0	3.2224042
Acpp	0.5697754	1.1755234	22.872719
Acpt	1.1942663	27.066328	72.40031
Acr	-1.4302245	2.4579124	2.1801348
Acrbp	1.2327404	97.083336	95.38958
Acrv1	-4.16719	7.142857	18.647188
Acsbg1	1.6572382	1.4705882	4.613139
Acsbg2	-4.16719	2.2988508	3.2073076
Acsf2	-0.5557554	99	96.899704
Acsf3	5.2256045	31.290323	88.17862
Acsl1	7.0434813	0.7352941	79.22107
Acsl3	4.95348	0	66.841644
Acsl4	3.685253	1.8229166	85.69991
Acsl5	0.508375	3.5256412	7.934706
Acsl6	3.2422009	21.666668	39.825703
Acsm1	-3.015187	3.7681162	21.650482
Acsm2	-4.16719	0	31.78202
Acsm3	3.4605465	6.9295635	78.52565
Acsm4	-3.015187	29.933334	52.820087
Acsm5	-4.16719	89.85508	60.849247
Acss1	-2.015187	2.3255813	2.9533489
Acss2	5.746364	1.0699589	75.05247
Acss3	-4.0151873	0.22675738	7.1735764
Acta1	-4.16719	34.72222	13.561951
Acta2	0.07227574	3.4188037	2.3185732
Actb	7.217234	0.6510417	28.506495
Actbl2	-4.16719	5.377669	2.1825397
Actc1	-4.16719	3.5632186	2.3433585
Actg1	7.0569453	0.98870057	31.481482
Actg2	1.6572382	1.0101011	78.07283
Actl6a	5.872034	43.11904	83.052414
Actl6b	-2.4302247	0.42955327	2.4370887
Actl7a	-4.16719	94.44445	97.4359
Actl7b	-4.16719	50.793655	3.360334
Actl9	-4.16719	3.3333335	6.0185184
Actn1	4.13456	2.0491803	78.762505
Actn2	0.3067411	3.4313726	8.203659
Actn3	3.685253	1.4915459	80.91451
Actn4	7.912961	3.917379	84.09097
Actr10	6.341265	4.117647	83.80288
Actr1a	6.6878514	0.97222227	81.38923
Actr1b	6.6232486	98.91304	80.08001
Actr2	3.7727156	5.248092	74.2839
Actr3	4.6358647	2.9569895	63.71687
Actr3b	3.1746378	1.7316018	90.66214
Actr5	4.333541	3.7878788	67.06462
Actr6	3.944815	0.7368421	69.477776
Actr8	6.265584	4.9707603	79.028114
Actrt1	-4.16719	80.4762	92.230576
