,BC_ID,H_0,H_24,H_48,H_72,H_96,Mut_ID,Strain,Environment
1,1,-5.430079089,-6.142158334,NA,-6.159938771,NA,185,DivAnc,SC_3.0
2,10,-5.731109084,NA,NA,NA,NA,655,DivAnc,SC_3.0
3,16,-5.731109084,-6.443188329,NA,-6.460968767,NA,648,DivAnc,SC_3.0
4,18,NA,-6.443188329,NA,NA,NA,109,DivAnc,SC_3.0
5,23,NA,NA,-6.159155561,NA,NA,421,DivAnc,SC_3.0
6,30,-3.762626136,-3.634977356,-3.862490371,-4.093612846,-4.425553861,1012,DivAnc,SC_3.0
7,38,-5.430079089,-5.966067075,NA,-6.159938771,NA,333,DivAnc,SC_3.0
8,45,-3.143398119,-3.163293349,-3.1265368,-3.105517247,-3.033089995,71,DivAnc,SC_3.0
9,49,-5.430079089,-6.443188329,NA,-6.460968767,-6.043601958,252,DivAnc,SC_3.0
10,51,-5.430079089,NA,-6.159155561,-6.159938771,-5.742571962,993,DivAnc,SC_3.0
11,53,-3.18952984,-3.187915824,-3.410967534,-3.476891733,-3.295801867,340,DivAnc,SC_3.0
12,54,-5.430079089,-5.966067075,-6.159155561,-6.159938771,-6.344631954,266,DivAnc,SC_3.0
13,56,-5.731109084,NA,-6.159155561,NA,NA,745,DivAnc,SC_3.0
14,60,-5.731109084,NA,NA,NA,NA,474,DivAnc,SC_3.0
15,85,-5.731109084,-5.966067075,NA,-5.983847512,-6.344631954,674,DivAnc,SC_3.0
16,95,-3.114108743,-3.008140688,-3.110713758,-3.176087052,-3.240486403,710,DivAnc,SC_3.0
17,99,-5.731109084,-6.142158334,-6.159155561,NA,-6.043601958,810,DivAnc,SC_3.0
18,102,-3.781719078,-4.110749869,-4.346242205,-4.200897379,-4.58120396,488,DivAnc,SC_3.0
19,103,NA,NA,NA,NA,-6.344631954,877,DivAnc,SC_3.0
20,107,-5.731109084,-6.142158334,-5.858125566,NA,-6.344631954,212,DivAnc,SC_3.0
21,128,-2.782696119,-2.752549318,-2.665558112,-2.619484157,-2.524167763,639,DivAnc,SC_3.0
22,131,NA,-6.142158334,NA,NA,NA,109,DivAnc,SC_3.0
23,151,-2.803225674,-2.861238671,-2.927431178,-2.96390083,-3.122956957,710,DivAnc,SC_3.0
24,160,-3.705803219,-3.760141291,-3.745855797,-4.03608713,-4.035001786,781,DivAnc,SC_3.0
25,179,-5.731109084,NA,NA,-5.858908775,-6.344631954,482,DivAnc,SC_3.0
26,196,-3.072144242,-2.981990041,-3.122926017,-3.004602734,-3.00817222,898,DivAnc,SC_3.0
27,208,-3.097640629,-3.086780002,-3.128555839,-3.049685854,-2.975045063,337,DivAnc,SC_3.0
28,215,-3.225959106,-3.092552721,-3.118948934,-3.267287737,-3.337311001,426,DivAnc,SC_3.0
29,226,-5.731109084,-5.966067075,NA,-6.159938771,-6.344631954,526,DivAnc,SC_3.0
30,227,-3.879850736,-4.562374737,-4.250670542,-4.492485818,-4.753567347,133,DivAnc,SC_3.0
31,229,-5.731109084,-6.443188329,-6.159155561,-6.159938771,-6.344631954,266,DivAnc,SC_3.0
32,233,-3.249666456,-3.15337649,-3.241125225,-3.258208079,-3.17613447,930,DivAnc,SC_3.0
33,235,-3.375083227,-3.233941481,-3.18834395,-3.188662922,-3.241170332,781,DivAnc,SC_3.0
34,256,-3.150184109,-2.996961928,-3.009936449,-2.937482434,-3.008372402,631,DivAnc,SC_3.0
35,270,NA,-6.443188329,NA,-6.460968767,NA,806,DivAnc,SC_3.0
36,276,-4.283951053,-4.57395661,-5.682034307,-5.615870727,-5.867510699,149,DivAnc,SC_3.0
37,279,-3.443307354,-3.370570853,-3.395727568,-3.487840913,-3.499533914,109,DivAnc,SC_3.0
38,281,NA,NA,-6.159155561,NA,NA,272,DivAnc,SC_3.0
39,284,-2.873776588,-2.852569381,-2.928962182,-2.903943044,-2.880142406,622,DivAnc,SC_3.0
40,285,NA,NA,NA,-6.460968767,NA,988,DivAnc,SC_3.0
41,287,-5.731109084,NA,NA,NA,-6.344631954,511,DivAnc,SC_3.0
42,288,-5.731109084,-6.142158334,NA,NA,NA,864,DivAnc,SC_3.0
43,294,-3.681891062,-4.098796056,-4.546371705,-4.983847512,-5.140511971,149,DivAnc,SC_3.0
44,300,-3.184566421,-3.261344741,-3.371695087,-3.370358059,-3.438836073,109,DivAnc,SC_3.0
45,301,NA,-6.142158334,NA,-6.460968767,NA,846,DivAnc,SC_3.0
